#Time, Orientation
100.005,1 -1.16475549934e-11 1.99627091969e-10 1.16475549346e-11 1 2.94208948434e-10 -1.99627091972e-10 -2.94208948432e-10 1
100.009,1 -3.54608937485e-11 5.94881299022e-10 3.54608932299e-11 1 8.717863362e-10 -5.94881299053e-10 -8.71786336179e-10 1
100.013,1 -8.01605491767e-11 1.32345737769e-09 8.01605466275e-11 1 1.92610165583e-09 -1.32345737784e-09 -1.92610165572e-09 1
100.018,1 -1.58179996326e-10 2.57419582437e-09 1.58179986748e-10 1 3.7208310082e-09 -2.57419582496e-09 -3.72083100779e-09 1
100.024,1 -2.89454541247e-10 4.62677138546e-09 2.89454510486e-10 1 6.64842919475e-09 -4.62677138738e-09 -6.64842919341e-09 1
100.031,1 -5.0426066943e-10 7.88511798221e-09 5.04260580561e-10 1 1.12704740792e-08 -7.8851179879e-09 -1.12704740753e-08 1
100.04,1 -8.49629937234e-10 1.2952996458e-08 8.4962969873e-10 1 1.84129982772e-08 -1.29529964736e-08 -1.84129982662e-08 1
100.05,1 -1.39765937418e-09 2.07269607494e-08 1.39765876716e-09 1 2.92862740926e-08 -2.07269607904e-08 -2.92862740636e-08 1
100.062,1 -2.2602974565e-09 3.25362291002e-08 2.26029597122e-09 1 4.56500388995e-08 -3.25362292034e-08 -4.56500388259e-08 1
100.077,1 -3.61013499689e-09 5.03626506425e-08 3.61013146844e-09 1 7.0060909284e-08 -5.03626508955e-08 -7.00609091022e-08 1
100.095,1 -5.70862272117e-09 7.71301096202e-08 5.70861452796e-09 1 1.06225814661e-07 -7.71301102266e-08 -1.06225814221e-07 1
100.116,1 -8.99179319259e-09 1.17235833594e-07 8.99177449194e-09 1 1.59513042816e-07 -1.17235835028e-07 -1.59513041761e-07 1
100.142,1 -1.42223956479e-08 1.77231653912e-07 1.42223535662e-08 1 2.37439071571e-07 -1.77231657289e-07 -2.37439069051e-07 1
100.168,1 -2.11335548009e-08 2.50738276024e-07 2.11334719007e-08 1 3.30624276267e-07 -2.50738283011e-07 -3.30624270968e-07 1
100.193,1 -3.00182148643e-08 3.3805669992e-07 3.00180665448e-08 1 4.38741462515e-07 -3.3805671309e-07 -4.38741452367e-07 1
100.219,1 -4.12167559628e-08 4.39804836e-07 4.1216508907e-08 1 5.61739585547e-07 -4.39804859153e-07 -5.6173956742e-07 1
100.244,1 -5.50797007476e-08 5.56699895533e-07 5.50793112174e-08 1 6.99713224045e-07 -5.56699934073e-07 -6.99713193382e-07 1
100.27,1 -7.19263502109e-08 6.89292094094e-07 7.19257624815e-08 1 8.52656540657e-07 -6.89292155422e-07 -8.52656491079e-07 0.999999999999
100.296,1 -9.20513351726e-08 8.38078099953e-07 9.20504798434e-08 0.999999999999 1.02058409739e-06 -8.38078193899e-07 -1.02058402025e-06 0.999999999999
100.321,0.999999999999 -1.15732167878e-07 1.00354737055e-06 1.1573096008e-07 0.999999999999 1.20352841132e-06 -1.00354750983e-06 -1.20352829518e-06 0.999999999999
100.347,0.999999999999 -1.43241568237e-07 1.18618381755e-06 1.43239905824e-07 0.999999999999 1.40147997762e-06 -1.1861840183e-06 -1.40147980771e-06 0.999999999998
100.372,0.999999999999 -1.74843266081e-07 1.3865007728e-06 1.74841027692e-07 0.999999999999 1.61441584312e-06 -1.38650105506e-06 -1.6144156007e-06 0.999999999998
100.398,0.999999999999 -2.10783367987e-07 1.60503371236e-06 2.10780411002e-07 0.999999999998 1.84231971653e-06 -1.60503410069e-06 -1.84231937822e-06 0.999999999997
100.424,0.999999999998 -2.51323517528e-07 1.84237698804e-06 2.5131967584e-07 0.999999999998 2.08517989823e-06 -1.84237751209e-06 -2.0851794352e-06 0.999999999996
100.449,0.999999999998 -2.9677087935e-07 2.09915287144e-06 2.96765961107e-07 0.999999999997 2.34296547702e-06 -2.09915356676e-06 -2.34296485406e-06 0.999999999995
100.475,0.999999999997 -3.47411152457e-07 2.37587045926e-06 3.47404938064e-07 0.999999999997 2.6156275311e-06 -2.37587136795e-06 -2.6156267057e-06 0.999999999994
100.497,0.999999999996 -3.95561804317e-07 2.63165704342e-06 3.95554268241e-07 0.999999999996 2.86362383759e-06 -2.63165817615e-06 -2.86362279662e-06 0.999999999992
100.518,0.999999999996 -4.45862605053e-07 2.89262345229e-06 4.45853599538e-07 0.999999999995 3.11326898151e-06 -2.89262484036e-06 -3.11326769181e-06 0.999999999991
100.539,0.999999999995 -4.98880669031e-07 3.16170322096e-06 4.98870022238e-07 0.999999999994 3.36742332036e-06 -3.16170490089e-06 -3.36742174306e-06 0.999999999989
100.558,0.999999999994 -5.48577389559e-07 3.40909109425e-06 5.48565122182e-07 0.999999999993 3.59843038398e-06 -3.40909306824e-06 -3.59842851385e-06 0.999999999988
100.575,0.999999999993 -5.96975273631e-07 3.64591350092e-06 5.9696135538e-07 0.999999999993 3.81749338023e-06 -3.64591577984e-06 -3.81749120373e-06 0.999999999986
100.591,0.999999999992 -6.48141140411e-07 3.89179213522e-06 6.48125406147e-07 0.999999999992 4.04293524046e-06 -3.89179475558e-06 -4.04293271806e-06 0.999999999984
100.607,0.999999999991 -6.97069955748e-07 4.12281933002e-06 6.97052421517e-07 0.999999999991 4.25297090452e-06 -4.1228222946e-06 -4.25296803066e-06 0.999999999982
100.622,0.99999999999 -7.48679264033e-07 4.36265457735e-06 7.48659766151e-07 0.99999999999 4.46927015973e-06 -4.36265792336e-06 -4.46926689354e-06 0.99999999998
