#Time, Orientation
3.4398,0.999999998796 -3.46950332738e-06 4.89526458911e-05 3.4677903546e-06 0.999999999382 3.49924865627e-05 -4.89527672674e-05 -3.4992316763e-05 0.99999999819
3.4776,0.999999998723 -3.65160597517e-06 5.04009256196e-05 3.64973990239e-06 0.999999999308 3.70246159421e-05 -5.0401060784e-05 -3.70244319446e-05 0.999999998044
3.5154,0.999999998647 -3.8147139727e-06 5.18802639412e-05 3.81268469918e-06 0.999999999228 3.91145991922e-05 -5.18804131121e-05 -3.91144013362e-05 0.999999997889
3.5532,0.999999998567 -3.95709094519e-06 5.33897296775e-05 3.95488805032e-06 0.999999999141 4.12606910667e-05 -5.3389892904e-05 -4.12604798571e-05 0.999999997724
3.591,0.999999998483 -4.07696480283e-06 5.49282396702e-05 4.07457756212e-06 0.999999999047 4.34611235504e-05 -5.49284168074e-05 -4.34608996751e-05 0.999999997547
3.6288,0.999999998395 -4.17277923852e-06 5.64942869576e-05 4.1701966638e-06 0.999999998946 4.571395008e-05 -5.64944776523e-05 -4.57137144143e-05 0.999999997359
3.6666,0.999999998304 -4.24342719595e-06 5.80862250793e-05 4.24063806614e-06 0.999999998838 4.80170999351e-05 -5.80864287689e-05 -4.8016853531e-05 0.99999999716
3.7044,0.999999998209 -4.28790451305e-06 5.97025247329e-05 4.28489740059e-06 0.999999998722 5.03682997034e-05 -5.97027406311e-05 -5.0368043794e-05 0.999999996949
3.7422,0.999999998109 -4.30520598704e-06 6.13417532016e-05 4.30196928385e-06 0.999999998599 5.27651251942e-05 -6.13419802803e-05 -5.27648612041e-05 0.999999996727
3.78,0.999999998006 -4.29472505055e-06 6.30024976485e-05 4.29124699365e-06 0.999999998467 5.52050951103e-05 -6.30027346427e-05 -5.52048246409e-05 0.999999996492
3.8178,0.999999997899 -4.25591997748e-06 6.46832795057e-05 4.25218869242e-06 0.999999998327 5.76854931688e-05 -6.46835249024e-05 -5.76852180021e-05 0.999999996244
3.8556,0.999999997788 -4.18823619769e-06 6.6382812158e-05 4.18423973145e-06 0.999999998179 6.02033529371e-05 -6.6383064183e-05 -6.02030750423e-05 0.999999995984
3.8934,0.999999997673 -4.09122749548e-06 6.80999381039e-05 4.08695384263e-06 0.999999998023 6.27556263349e-05 -6.81001947168e-05 -6.27553478676e-05 0.999999995712
3.9312,0.999999997554 -3.96439649457e-06 6.98334114483e-05 3.9598336289e-06 0.999999997858 6.53393092101e-05 -6.98336703296e-05 -6.53390325216e-05 0.999999995427
3.969,0.999999997431 -3.80721481268e-06 7.15819044808e-05 3.80235071948e-06 0.999999997684 6.79514493326e-05 -7.15821630208e-05 -6.79511769785e-05 0.999999995129
4.0068,0.999999997304 -3.61951143794e-06 7.3344114445e-05 3.61433414651e-06 0.999999997502 7.05890605434e-05 -7.33443697597e-05 -7.05887952629e-05 0.999999994819
4.0446,0.999999997173 -3.4018794069e-06 7.51187499422e-05 3.39637702165e-06 0.999999997312 7.32491649008e-05 -7.51189989251e-05 -7.32489095621e-05 0.999999994496
4.0824,0.999999997038 -3.15491624766e-06 7.69045316961e-05 3.14907696733e-06 0.999999997112 7.59289526454e-05 -7.69047710236e-05 -7.59287102422e-05 0.99999999416
4.1202,0.999999996899 -2.87910680434e-06 7.87000896262e-05 2.8729189506e-06 0.999999996905 7.8625752086e-05 -7.87003157546e-05 -7.86255257432e-05 0.999999993812
4.158,0.999999996756 -2.57532163719e-06 8.05039658206e-05 2.56877369046e-06 0.999999996689 8.13369437167e-05 -8.05041750228e-05 -8.13367366564e-05 0.999999993452
4.1958,0.99999999661 -2.24438857321e-06 8.23146992225e-05 2.23746919419e-06 0.999999996464 8.40600613752e-05 -8.23148875949e-05 -8.40598769136e-05 0.999999993079
4.2336,0.999999996459 -1.88685961047e-06 8.41309141931e-05 1.87955766379e-06 0.999999996232 8.67926647277e-05 -8.41310776417e-05 -8.67925062915e-05 0.999999992695
4.2714,0.999999996305 -1.50319422441e-06 8.59513839666e-05 1.49549878908e-06 0.999999995991 8.9532413173e-05 -8.59515182066e-05 -8.9532284302e-05 0.999999992298
4.3092,0.999999996147 -1.09411692378e-06 8.77748229925e-05 1.08601732389e-06 0.999999995742 9.22770236439e-05 -8.77749235806e-05 -9.22769279634e-05 0.99999999189
4.347,0.999999995986 -6.60623463597e-07 8.95997706639e-05 6.5210933628e-07 0.999999995485 9.50239815224e-05 -8.95998330345e-05 -9.50239227121e-05 0.999999991471
4.3848,0.999999995821 -2.03742659758e-07 9.14248274897e-05 1.94803987694e-07 0.99999999522 9.77707276023e-05 -9.14248469728e-05 -9.77707093838e-05 0.999999991041
4.4226,0.999999995652 2.75418130754e-07 9.32487305904e-05 -2.84791008576e-07 0.999999994948 0.000100514805039 -9.32487024357e-05 -0.000100514831158 0.999999990601
4.4604,0.999999995481 7.75684502067e-07 9.50701810522e-05 -7.85500859905e-07 0.999999994669 0.000103253810133 -9.5070100453e-05 -0.000103253884344 0.99999999015
4.4982,0.999999995305 1.29603735669e-06 9.68882807671e-05 -1.30630610177e-06 0.999999994383 0.000105985431251 -9.68881428617e-05 -0.000105985557319 0.99999998969
4.536,0.999999995127 1.835780529e-06 9.87023408406e-05 -1.84651019401e-06 0.99999999409 0.000108707319143 -9.87021406945e-05 -0.000108707500868 0.99999998922
4.5738,0.999999994946 2.39371238954e-06 0.000100511311447 -2.40491108105e-06 0.99999999379 0.000111417253023 -0.000100511044122 -0.000111417494181 0.999999988742
4.6116,0.999999994762 2.9682493869e-06 0.000102313902517 -2.97992475943e-06 0.999999993485 0.000114113292299 -0.000102313563134 -0.000114113596589 0.999999988255
4.6494,0.999999994574 3.55822600898e-06 0.000104108699761 -3.57038525322e-06 0.999999993173 0.000116793785605 -0.000104108283472 -0.00011679415668 0.99999998776
4.6872,0.999999994385 4.16244245012e-06 0.000105894273795 -4.17509229501e-06 0.999999992856 0.000119457367531 -0.000105893775804 -0.000119457808979 0.999999987258
4.725,0.999999994192 4.77944369173e-06 0.000107669242395 -4.79259038672e-06 0.999999992534 0.000122102678081 -0.000107668658008 -0.000122103193387 0.999999986749
4.7628,0.999999993998 5.40766435821e-06 0.000109432233595 -5.42131365455e-06 0.999999992207 0.000124728386605 -0.000109431558252 -0.000124728979123 0.999999986234
4.8006,0.999999993801 6.04547180349e-06 0.000111181715698 -6.05962894542e-06 0.999999991875 0.000127333468495 -0.000111180945003 -0.000127334141426 0.999999985712
4.8384,0.999999993603 6.69123926088e-06 0.000112916088168 -6.70590899617e-06 0.999999991538 0.000129917261955 -0.000112915217905 -0.000129918018329 0.999999985186
4.8762,0.999999993403 7.34355884556e-06 0.000114633773197 -7.35874543756e-06 0.999999991198 0.000132479352896 -0.000114632799318 -0.000132480195583 0.999999984654
4.914,0.999999993201 8.00105077578e-06 0.000116333177211 -8.0167579762e-06 0.999999990853 0.000135019256571 -0.000116332095851 -0.000135020188268 0.999999984118
4.9518,0.999999992999 8.66200766409e-06 0.000118012724707 -8.67823867759e-06 0.999999990504 0.000137536312609 -0.000118011532246 -0.000137537335789 0.999999983578
4.9896,0.999999992796 9.32489531659e-06 0.000119670978362 -9.3416527949e-06 0.999999990152 0.000140029797353 -0.00011966967142 -0.000140030914269 0.999999983035
5.0274,0.999999992592 9.98844452625e-06 0.000121306549945 -1.00057305496e-05 0.999999989797 0.000142498909689 -0.000121305125364 -0.000142500122394 0.999999982489
5.0652,0.999999992389 1.06513238313e-05 0.000122918355687 -1.06691399386e-05 0.999999989439 0.000144942865152 -0.000122916810556 -0.000144944175482 0.999999981941
5.103,0.999999992185 1.1312191973e-05 0.000124505577962 -1.13305391872e-05 0.999999989078 0.000147360861265 -0.000124503909627 -0.000147362270828 0.999999981392
5.1408,0.999999991982 1.19696622324e-05 0.000126067182627 -1.19885410413e-05 0.999999988715 0.000149752278573 -0.00012606538872 -0.000149753788734 0.999999980841
5.1786,0.999999991779 1.26222654169e-05 0.000127602090405 -1.26416757943e-05 0.99999998835 0.000152116790725 -0.00012760016886 -0.000152118402579 0.999999980289
5.2164,0.999999991577 1.32686865929e-05 0.000129109554058 -1.32886280315e-05 0.999999987984 0.000154453992832 -0.000129107503104 -0.00015445570722 0.999999979737
5.2542,0.999999991377 1.39080059613e-05 0.000130589281939 -1.39284775196e-05 0.999999987616 0.000156763328507 -0.000130587100056 -0.000156765146065 0.999999979186
5.292,0.999999991177 1.45391727497e-05 0.000132041013716 -1.45601730777e-05 0.999999987246 0.000159044409025 -0.000132038699658 -0.000159046330162 0.999999978635
5.3298,0.999999990979 1.51606139575e-05 0.000133464279312 -1.51821413087e-05 0.999999986876 0.000161297189882 -0.000133461832196 -0.000161299214701 0.999999978085
5.3676,0.999999990782 1.57707316685e-05 0.000134858786766 -1.5792783925e-05 0.999999986506 0.000163521593349 -0.000134856206091 -0.000163523721638 0.999999977537
5.4054,0.999999990588 1.63678554115e-05 0.000136224223421 -1.63904300784e-05 0.999999986135 0.00016571751309 -0.000136221509092 -0.000165719744304 0.99999997699
5.4432,0.999999990395 1.69500007948e-05 0.000137560292131 -1.69730950289e-05 0.999999985763 0.000167885019897 -0.000137557444521 -0.000167887353108 0.999999976446
5.481,0.999999990205 1.7515315384e-05 0.000138866796595 -1.75389260064e-05 0.999999985392 0.000170024131455 -0.00013886381654 -0.000170026565364 0.999999975904
5.5188,0.999999990017 1.80625992953e-05 0.000140143324621 -1.80867227357e-05 0.999999985021 0.000172134708675 -0.000140140213321 -0.00017213724169 0.999999975365
5.5566,0.999999989832 1.85913320605e-05 0.000141389332478 -1.86159643526e-05 0.999999984651 0.000174216737321 -0.000141386091386 -0.000174219367648 0.999999974829
5.5944,0.99999998965 1.910128122e-05 0.000142604131697 -1.91264179868e-05 0.999999984281 0.000176270271686 -0.000142600762467 -0.000176272997367 0.999999974296
5.6322,0.999999989471 1.95923146754e-05 0.000143786984939 -1.96179510854e-05 0.999999983913 0.000178295125934 -0.000143783489411 -0.000178297944862 0.999999973768
5.67,0.999999989295 2.00641781656e-05 0.000144937361754 -2.00903089303e-05 0.999999983546 0.000180290847143 -0.000144933741981 -0.00018029375705 0.999999973244
5.7078,0.999999989124 2.05164369815e-05 0.000146054745682 -2.05430563704e-05 0.99999998318 0.000182257073247 -0.000146051003959 -0.000182260071676 0.999999972725
5.7456,0.999999988956 2.09490321638e-05 0.000147138587145 -2.09761340124e-05 0.999999982816 0.00018419353747 -0.000147134725941 -0.000184196621834 0.999999972211
5.7834,0.999999988792 2.13623875932e-05 0.000148188480038 -2.13899653351e-05 0.999999982455 0.00018610000524 -0.000148184501897 -0.000186103172901 0.999999971703
5.8212,0.999999988632 2.17564800164e-05 0.000149204141453 -2.17845267497e-05 0.999999982095 0.000187976519936 -0.000149200049074 -0.00018797976814 0.999999971201
5.859,0.999999988477 2.21309294003e-05 0.000150185444236 -2.21594379281e-05 0.999999981738 0.000189823166826 -0.00015018124053 -0.000189826492664 0.999999970706
5.8968,0.999999988327 2.24858357457e-05 0.00015113245597 -2.25147986293e-05 0.999999981384 0.000191640102932 -0.000151128143969 -0.000191643503412 0.999999970217
5.9346,0.999999988181 2.28212461328e-05 0.000152045314996 -2.28506557364e-05 0.999999981032 0.000193427639783 -0.000152040897852 -0.000193431111832 0.999999969734
5.9724,0.999999988039 2.31368378292e-05 0.000152924055788 -2.31666863116e-05 0.999999980683 0.00019518611426 -0.000152919536844 -0.000195189654669 0.999999969258
6.0102,0.999999987903 2.34323158144e-05 0.000153768686874 -2.34625951388e-05 0.999999980337 0.00019691591255 -0.000153764069654 -0.00019691951798 0.99999996879
6.048,0.999999987772 2.37076282757e-05 0.000154579342826 -2.37383302342e-05 0.999999979994 0.000198617369795 -0.000154574630986 -0.000198621036822 0.999999968328
6.0858,0.999999987645 2.39627159063e-05 0.000155356363939 -2.39938321823e-05 0.999999979654 0.000200290907336 -0.000155351561264 -0.000200294632456 0.999999967874
6.1236,0.999999987524 2.41974743228e-05 0.00015610013242 -2.42289965278e-05 0.999999979317 0.000201937068954 -0.000156095242824 -0.000201940848584 0.999999967427
6.1614,0.999999987407 2.44121411834e-05 0.000156811044823 -2.4444060879e-05 0.999999978984 0.00020355645768 -0.000156806072278 -0.000203560288215 0.999999966988
6.1992,0.999999987296 2.46072184202e-05 0.000157489548022 -2.46395271418e-05 0.999999978653 0.000205149702104 -0.000157484496497 -0.000205153579965 0.999999966555
