#Time, x, y, z
2.4948,135,125,-14.0669169798
2.5326,135,125,-14.0659763508
2.5704,135,125,-14.0650257707
2.6082,135,125,-14.0640654239
2.646,135,125,-14.0630955023
2.6838,135,125,-14.0621161593
2.7216,135,125,-14.0611275629
2.7594,135,125,-14.0601298762
2.7972,135,125,-14.0591232738
2.835,135,125,-14.0581079264
2.8728,135,125,-14.0570840084
2.9106,135,125,-14.0560516877
2.9484,135,125,-14.0550111276
2.9862,135,125,-14.0539624996
3.024,135,125,-14.05290602
3.0618,135,125,-14.0518418622
3.0996,135,125,-14.0507701414
3.1374,135,125,-14.0496910107
3.1752,135,125,-14.0486046478
3.213,135,125,-14.0475112177
3.2508,135,125,-14.046410892
3.2886,135,125,-14.0453038358
3.3264,135,125,-14.0441902066
3.3642,135,125,-14.0430701838
3.402,135,125,-14.0419439457
3.4398,135,125,-14.0408116581
3.4776,135,125,-14.0396734804
3.5154,135,125,-14.0385295755
3.5532,135,125,-14.0373801062
3.591,135,125,-14.036225234
3.6288,135,125,-14.0350651198
3.6666,135,125,-14.0338999265
3.7044,135,125,-14.0327298145
3.7422,135,125,-14.0315549434
3.78,135,125,-14.0303754665
3.8178,135,125,-14.0291915411
3.8556,135,125,-14.0280033348
3.8934,135,125,-14.0268110168
3.9312,135,125,-14.0256147541
3.969,135,125,-14.0244147204
4.0068,135,125,-14.0232110838
4.0446,135,125,-14.0220040005
4.0824,135,125,-14.0207936266
4.1202,135,125,-14.0195801218
4.158,135,125,-14.018363642
4.1958,135,125,-14.0171443364
4.2336,135,125,-14.0159223586
4.2714,135,125,-14.0146978813
4.3092,135,125,-14.0134710788
4.347,135,125,-14.0122421164
4.3848,135,125,-14.0110111484
4.4226,135,125,-14.0097783243
4.4604,135,125,-14.0085438105
4.4982,135,125,-14.0073077825
4.536,135,125,-14.0060703923
4.5738,135,125,-14.0048317816
4.6116,135,125,-14.0035921056
4.6494,135,125,-14.0023515234
4.6872,135,125,-14.0011101899
4.725,135,125,-13.9998682593
4.7628,135,125,-13.9986258789
4.8006,135,125,-13.9973831878
4.8384,135,125,-13.9961403338
4.8762,135,125,-13.9948974815
4.914,135,125,-13.993654793
4.9518,135,125,-13.9924124252
4.9896,135,125,-13.9911705264
5.0274,135,125,-13.9899292391
5.0652,135,125,-13.9886887113
5.103,135,125,-13.9874490965
5.1408,135,125,-13.9862105514
5.1786,135,125,-13.9849732349
5.2164,135,125,-13.9837373045
5.2542,135,125,-13.9825029136
5.292,135,125,-13.9812702055
5.3298,135,125,-13.9800393159
5.3676,135,125,-13.9788103823
5.4054,135,125,-13.9775835541
5.4432,135,125,-13.9763589908
5.481,135,125,-13.9751368428
5.5188,135,125,-13.9739172519
5.5566,135,125,-13.9727003635
5.5944,135,125,-13.9714863187
5.6322,135,125,-13.9702752557
5.67,135,125,-13.9690673199
5.7078,135,125,-13.9678626439
5.7456,135,125,-13.9666613555
5.7834,135,125,-13.9654636029
5.8212,135,125,-13.9642695272
5.859,135,125,-13.9630792669
5.8968,135,125,-13.9618929781
5.9346,135,125,-13.9607108091
5.9724,135,125,-13.9595328957
6.0102,135,125,-13.9583593706
6.048,135,125,-13.9571903694
6.0858,135,125,-13.9560260314
6.1236,135,125,-13.9548664959
6.1614,135,125,-13.9537119031
6.1992,135,125,-13.9525623903
6.237,135,125,-13.9514180908
6.2748,135,125,-13.9502791372
6.3126,135,125,-13.9491456568
6.3504,135,125,-13.9480177877
6.3882,135,125,-13.9468956869
6.426,135,125,-13.9457794976
6.4638,135,125,-13.9446693456
6.5016,135,125,-13.9435653641
6.5394,135,125,-13.9424676942
6.5772,135,125,-13.9413764739
6.615,135,125,-13.9402918362
6.6528,135,125,-13.9392139102
6.6906,135,125,-13.9381428261
6.7284,135,125,-13.9370787191
6.7662,135,125,-13.9360217218
6.804,135,125,-13.9349719625
6.8418,135,125,-13.9339295629
6.8796,135,125,-13.9328946373
6.9174,135,125,-13.9318673207
6.9552,135,125,-13.9308477607
6.993,135,125,-13.9298360831
7.0308,135,125,-13.9288324087
7.0686,135,125,-13.9278368669
7.1064,135,125,-13.9268495899
7.1442,135,125,-13.9258707019
7.182,135,125,-13.9249003189
7.2198,135,125,-13.9239385626
7.2576,135,125,-13.9229855572
7.2954,135,125,-13.922041424
7.3332,135,125,-13.9211062766
7.371,135,125,-13.9201802262
7.4088,135,125,-13.919263391
7.4466,135,125,-13.9183558844
7.4844,135,125,-13.91745781
7.5222,135,125,-13.9165692821
7.56,135,125,-13.9156904259
7.5978,135,125,-13.9148213555
7.6356,135,125,-13.9139621801
7.6734,135,125,-13.9131130095
7.7112,135,125,-13.9122739518
7.749,135,125,-13.9114451539
7.7868,135,125,-13.9106268128
7.8246,135,125,-13.909818995
7.8624,135,125,-13.9090216836
7.9002,135,125,-13.9082349616
7.938,135,125,-13.9074589396
7.9758,135,125,-13.9066937193
8.0136,135,125,-13.9059393854
8.0514,135,125,-13.9051960195
8.0892,135,125,-13.9044637274
8.127,135,125,-13.903742607
8.1648,135,125,-13.9030327474
8.2026,135,125,-13.902334242
8.2404,135,125,-13.9016471647
8.2782,135,125,-13.9009715785
8.316,135,125,-13.9003075603
8.3538,135,125,-13.8996552084
8.3916,135,125,-13.8990146216
8.4294,135,125,-13.8983858761
8.4672,135,125,-13.897769034
8.505,135,125,-13.8971641649
8.5428,135,125,-13.8965713461
8.5806,135,125,-13.8959906501
8.6184,135,125,-13.8954221458
8.6562,135,125,-13.8948658999
8.694,135,125,-13.8943219722
8.7318,135,125,-13.8937904154
8.7696,135,125,-13.8932712947
8.8074,135,125,-13.8927646854
8.8452,135,125,-13.8922706537
8.883,135,125,-13.8917892682
8.9208,135,125,-13.8913205991
8.9586,135,125,-13.8908647035
8.9964,135,125,-13.8904216321
9.0342,135,125,-13.8899914394
9.072,135,125,-13.8895741826
9.1098,135,125,-13.8891699182
